答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意，你不必说具体哪个，请告诉我您满意的主体数量（0-3）即可：钟南山院士官方媒体自媒体,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-3）即可：南方周末环球时报钟南山院士,Q13_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q13_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q13_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q13_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q13_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q14_请问你对上述视频有什么看法：,Q15_请问你对你平时上的思想政治课有什么看法：,Q16_你所在学校组织网课的最常见形式是什么？,Q16_你所在学校组织网课的最常见形式是什么？_开放选项,Q17_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q18_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q21_你上思想政治课的班级规模：,Q22_你对中央政府的工作有多满意？,Q23_你相信国务院新闻发布会发布的信息么？,Q24_你相信纽约时报发布的信息么？,Q25_你对老师在线授课的适应程度如何？,Q26_你对自己在线自主学习的适应程度如何？,Q27_你对学校组织的在线学习，有什么建议？
53,36.28.218.58,,,,,,,,,2021-06-30 11:50:03,2021-06-30 11:52:35,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,8.0,6.0,1,3,1,1,3,2,3,4,4,6,7,7,7,7,7,6,无,无,7,,10,10,5,5,6,6,6,6,3,4,6,6,6,6,6,6,6,6,6,6,6,5,7,7,5,6,5,无
54,223.104.165.212,,,,,,,,,2021-06-30 11:48:11,2021-06-30 11:53:17,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,9.0,9.0,9.0,1,1,3,1,1,1,3,4,2,6,7,6,6,6,6,6,有利于学习历史,学习历史，探索道理，创建更美好未来,5,,4,1,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,6,4,6,6,该在线的在线
55,223.104.165.154,,,,,,,,,2021-06-30 11:46:28,2021-06-30 11:53:45,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,6.0,5.0,8.0,3,1,3,1,3,3,3,4,4,7,7,7,7,7,7,7,非常不错,内容比较全面，非常好,4,,23,23,6,5,5,5,5,5,6,7,7,7,7,7,7,6,6,6,6,6,6,5,7,7,4,6,6,直播后可以留下回放，易于我们复习
56,223.104.165.171,,,,,,,,,2021-06-30 11:49:21,2021-06-30 11:53:58,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,9.0,1,3,2,1,1,4,6,3,4,7,7,7,7,7,7,7,官方,特别好,5,,3,3,5,4,4,4,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,7,7,7,6,6,特别好
57,223.104.246.11,,,,,,,,,2021-06-30 11:53:33,2021-06-30 11:55:19,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,9.0,8.0,7.0,1,1,1,1,2,1,3,4,4,7,6,5,6,5,7,7,好,没有 非常好,3,,6,24,5,6,6,5,5,7,6,6,5,6,5,6,6,6,6,6,6,6,6,5,7,7,7,6,5,没有
58,223.104.165.197,,,,,,,,,2021-06-30 11:51:27,2021-06-30 11:56:15,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,4.0,2.0,1,4,2,1,3,4,6,3,4,7,7,7,7,7,7,7,很好,不错,7,,5,5,5,5,5,5,5,6,6,6,5,5,5,5,6,6,6,6,6,6,6,5,7,7,5,5,6,有提高空间
59,124.160.214.171,,,,,,,,,2021-06-30 11:44:32,2021-06-30 11:56:37,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,2,2,4,2,4,2,3,3,7,7,7,7,7,7,6,无,无,4,,14,14,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,6,6,6,无
60,39.183.14.25,,,,,,,,,2021-06-30 11:52:47,2021-06-30 11:56:41,Unknown Browser,iPhone iOS 14.4,1,,,,,,,10.0,10.0,10.0,2,1,3,1,2,3,3,4,4,7,7,7,7,7,7,7,好,挺好,3,,72,1/3学年,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,多开展
61,223.104.165.166,,,,,,,,,2021-06-30 12:00:06,2021-06-30 12:02:24,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,4,2,1,1,4,4,7,7,7,7,7,7,7,好,好,3,,3,3,3,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,6,7,7,好
62,223.104.165.158,,,,,,,,,2021-06-30 11:58:37,2021-06-30 12:03:05,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,7.0,7.0,1,4,2,1,3,3,3,2,2,5,6,6,6,6,6,5,无,无,4,,2,2,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,无
63,223.104.244.190,,,,,,,,,2021-06-30 12:00:17,2021-06-30 12:03:19,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,6.0,8.0,8.0,1,1,1,1,2,1,6,3,4,7,7,7,7,7,7,7,无,无,3,,6,5,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,5,7,7,5,7,7,无
64,112.17.247.119,,,,,,,,,2021-06-30 12:02:00,2021-06-30 12:03:38,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,10.0,10.0,1,1,1,1,2,3,2,4,4,7,7,7,7,7,7,7,无,无,3,,3,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,7,7,7,7,无
65,223.104.160.15,,,,,,,,,2021-06-30 12:03:19,2021-06-30 12:04:13,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,3,2,2,3,3,3,5,4,5,5,5,4,6,好,好,5,,10,10,7,6,5,5,3,4,5,5,3,5,5,3,4,5,5,5,5,4,6,5,7,6,6,5,5,好
66,223.104.247.250,,,,,,,,,2021-06-30 12:00:41,2021-06-30 12:04:33,Unknown Browser,iPhone iOS 12.4,1,,,,,,,8.0,5.0,7.0,1,1,1,4,4,1,7,4,4,7,7,7,7,7,7,7,无,无,3,,18,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,6,5,无
67,112.17.240.128,,,,,,,,,2021-06-30 12:02:59,2021-06-30 12:05:32,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,1,3,1,2,4,6,3,4,7,7,7,7,7,7,7,无,无,4,,20,20,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,4,4,4,线上学习学不进去
68,112.17.240.245,,,,,,,,,2021-06-30 12:03:21,2021-06-30 12:05:45,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,7.0,7.0,1,1,2,1,2,1,3,3,2,5,5,5,4,6,4,4,挺好的,枯燥了些,4,,8,8,5,5,6,5,6,5,5,6,5,5,6,6,5,5,5,5,5,7,5,5,5,5,5,6,6,时间少
69,112.17.245.90,,,,,,,,,2021-06-30 12:01:52,2021-06-30 12:06:12,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,9.0,8.0,7.0,3,3,1,3,3,1,6,3,4,6,7,5,6,6,6,5,无,过于单调,3,,4,4,5,5,5,4,4,4,4,4,5,4,4,3,4,4,4,5,4,4,4,6,6,7,5,5,5,无
70,36.17.86.77,,,,,,,,,2021-06-30 12:04:16,2021-06-30 12:06:20,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,3,3,3,4,3,4,3,6,6,6,6,6,6,6,很不错,不错,4,,12,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,7,7,7,7,没有
71,36.19.52.39,,,,,,,,,2021-06-30 11:59:52,2021-06-30 12:07:05,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,3,2,4,2,3,3,3,4,7,7,7,7,7,7,7,无,有深意,4,,无,1—2,5,6,5,5,6,5,5,4,5,5,5,4,5,5,5,5,4,4,4,5,7,7,4,5,4,在线学习≠不细节授课
72,124.160.216.166,,,,,,,,,2021-06-30 11:59:34,2021-06-30 12:07:20,Unknown Browser,iPhone iOS 14.6,1,,,,,,,9.0,8.0,8.0,3,3,2,1,2,4,7,4,4,7,7,7,7,6,7,7,跟党学习跟,关心国家大事,3,,8,8,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,6,4,5,5,无
73,171.10.225.224,,,,,,,,,2021-06-30 12:02:00,2021-06-30 12:07:23,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,3,3,4,1,1,3,4,4,6,7,6,7,6,6,7,没有,没有,3,,20,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,6,7,6,没有
74,223.95.76.228,,,,,,,,,2021-06-30 12:05:28,2021-06-30 12:08:06,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,7.0,7.0,7.0,3,3,3,4,2,2,3,3,3,6,6,6,5,6,6,5,没有看法,没有看法,4,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,无
75,112.17.247.234,,,,,,,,,2021-06-30 12:04:43,2021-06-30 12:08:25,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,6.0,6.0,6.0,1,3,1,3,4,2,3,4,1,6,6,6,6,6,6,6,无,无,5,,20,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,无
76,223.104.165.143,,,,,,,,,2021-06-30 12:05:45,2021-06-30 12:08:28,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,4,3,1,2,1,3,3,4,5,6,6,6,6,6,6,没有,没有,4,,8,21,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,没有
77,112.17.240.75,,,,,,,,,2021-06-30 12:05:29,2021-06-30 12:08:38,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,3,2,4,4,2,3,4,3,7,7,7,7,7,7,7,很好,难懂,5,,0,0,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,6,6,无
78,124.160.213.205,,,,,,,,,2021-06-30 12:05:37,2021-06-30 12:08:42,Unknown Browser,iPhone iOS 13.6,1,,,,,,,6.0,6.0,6.0,1,1,1,1,3,2,3,4,4,5,5,5,5,5,5,5,无,无,3,,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,无
79,36.19.239.209,,,,,,,,,2021-06-30 12:02:41,2021-06-30 12:09:05,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,3,6,4,4,7,7,7,7,7,7,7,无,无,4,,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,5,6,5,无
80,36.17.47.16,,,,,,,,,2021-06-30 12:04:51,2021-06-30 12:09:28,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,6.0,6.0,1,3,3,1,1,1,3,3,3,5,6,6,6,7,5,5,国家富强，人民安康,非常好,3,,1,1.5,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,5,6,6,5,5,5,精简
81,112.17.240.235,,,,,,,,,2021-06-30 12:01:10,2021-06-30 12:10:03,Unknown Browser,iPhone iOS 14.0,1,,,,,,,8.0,7.0,7.0,1,3,2,1,2,4,6,3,3,7,6,7,5,6,6,6,无,无,4,,0,12,5,5,5,5,5,5,6,5,6,6,6,5,6,5,5,5,5,5,5,5,6,7,6,6,6,无
82,223.104.165.161,,,,,,,,,2021-06-30 12:08:09,2021-06-30 12:10:59,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,7.0,8.0,8.0,3,1,3,1,3,2,3,4,4,7,7,7,7,7,7,7,无,无,4,,8,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,6,5,5,5,无
83,223.104.244.114,,,,,,,,,2021-06-30 12:00:48,2021-06-30 12:12:27,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,9.0,1,1,2,1,2,4,6,4,4,7,7,7,7,7,7,7,无,无,3,,0,4,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,5,6,7,7,7,6,5,无
84,223.104.159.203,,,,,,,,,2021-06-30 12:08:52,2021-06-30 12:13:10,Unknown Browser,iPhone iOS 14.2,1,,,,,,,8.0,8.0,8.0,1,3,2,1,1,2,1,2,4,7,7,7,7,7,7,7,好,好,5,,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,7,6,6,挺好
85,36.18.232.109,,,,,,,,,2021-06-30 12:10:42,2021-06-30 12:13:46,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,8.0,8.0,1,1,3,1,2,2,3,4,4,6,6,6,6,6,6,6,视频讲的很好,期待,4,,30,40,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,增加趣味性
86,112.17.240.221,,,,,,,,,2021-06-30 12:10:55,2021-06-30 12:13:54,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,8.0,8.0,8.0,1,2,3,1,3,2,3,3,2,7,7,7,7,7,7,7,好,好,4,,1,1,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,5,6,6,好
87,112.17.240.69,,,,,,,,,2021-06-30 12:09:09,2021-06-30 12:14:19,Unknown Browser,iPhone iOS 14.3,1,,,,,,,9.0,8.0,7.0,1,1,2,4,4,3,2,3,4,7,7,7,7,7,7,7,很好,中国加油 中国牛比,4,,10,10,6,5,5,5,6,6,6,5,5,5,6,5,5,5,5,5,5,5,5,6,7,7,5,5,5,很好
88,223.104.160.82,,,,,,,,,2021-06-30 12:08:38,2021-06-30 12:14:46,Unknown Browser,iPhone iOS 14.2,1,,,,,,,9.0,9.0,9.0,1,3,2,1,2,4,3,4,4,6,6,6,6,6,6,6,挺好的,挺好的,4,,3,3,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,挺好的
89,36.23.30.34,,,,,,,,,2021-06-30 12:13:09,2021-06-30 12:15:11,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,7.0,2,1,1,2,2,3,3,3,4,5,5,5,5,5,5,5,没有,没有,7,,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,没有
90,124.160.214.169,,,,,,,,,2021-06-30 12:09:41,2021-06-30 12:15:42,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,7.0,7.0,1,3,2,1,2,2,3,4,4,7,7,7,7,7,7,7,无,无,4,,20,2,4,4,4,4,4,5,6,6,6,5,6,4,4,4,4,5,4,4,4,5,7,7,5,4,4,无
91,124.160.216.110,,,,,,,,,2021-06-30 12:10:13,2021-06-30 12:16:08,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,7.0,9.0,7.0,1,4,3,1,3,4,3,4,4,5,6,6,5,6,6,6,无,无,4,,35,25,6,5,5,5,6,6,7,6,5,5,6,5,5,5,5,6,5,5,5,5,6,6,5,5,6,无
92,112.10.92.178,,,,,,,,,2021-06-30 12:12:33,2021-06-30 12:16:09,Unknown Browser,iPhone iOS 14.3,1,,,,,,,6.0,6.0,6.0,1,3,3,3,4,3,3,3,4,6,6,6,6,6,7,6,无,无,7,,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,6,6,5,5,无
93,211.138.116.241,,,,,,,,,2021-06-30 12:09:07,2021-06-30 12:16:47,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,1,2,4,2,1,7,4,4,7,7,7,7,7,7,7,很好,很棒要更认真学习,7,,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,7,7,7,很棒啦
94,223.104.246.206,,,,,,,,,2021-06-30 12:11:05,2021-06-30 12:16:51,Unknown Browser,iPhone iOS 14.3,1,,,,,,,10.0,10.0,10.0,1,1,2,4,4,3,6,3,4,7,7,7,7,7,7,7,无,无,4,,18,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,6,6,6,无
95,223.104.244.238,,,,,,,,,2021-06-30 12:13:43,2021-06-30 12:17:00,Unknown Browser,iPhone iOS 14.0,1,,,,,,,10.0,10.0,10.0,1,3,3,1,1,4,7,4,4,6,6,7,6,7,7,6,很好,狠好,3,,30,5,5,5,5,4,4,4,4,5,6,7,7,6,5,5,6,6,5,5,6,4,6,6,6,7,5,很好
96,223.104.247.107,,,,,,,,,2021-06-30 12:13:50,2021-06-30 12:17:12,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,3,3,4,1,4,3,2,3,5,5,5,5,5,5,5,挺好的,挺好的吧,5,,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,挺好的
97,112.17.240.151,,,,,,,,,2021-06-30 12:11:13,2021-06-30 12:18:03,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,1,3,4,4,7,7,7,7,7,7,7,好,无,7,,30,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,无
98,112.10.93.78,,,,,,,,,2021-06-30 12:16:46,2021-06-30 12:19:09,Unknown Browser,iPhone iOS 14.6,1,,,,,,,9.0,9.0,9.0,1,3,1,4,3,2,6,4,4,6,6,6,6,6,6,6,无,无,4,,2,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,6,6,无
99,223.104.165.253,,,,,,,,,2021-06-30 12:18:22,2021-06-30 12:20:01,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,6.0,6.0,6.0,1,3,2,1,2,4,6,2,3,6,7,7,6,6,6,6,无,无,5,,5,2,5,6,5,5,6,6,6,5,6,4,6,7,5,6,6,7,4,6,5,4,5,5,5,5,6,无
100,112.10.200.100,,,,,,,,,2021-06-30 12:18:44,2021-06-30 12:21:18,Unknown Browser,iPhone iOS 14.4.2,1,,,,,,,10.0,8.0,9.0,1,1,2,1,3,4,6,3,2,7,7,7,6,7,6,5,无,无,4,,10,20,5,5,5,5,5,5,6,7,7,6,6,5,5,5,5,5,5,5,5,6,6,6,5,6,5,无
101,211.138.116.234,,,,,,,,,2021-06-30 12:19:22,2021-06-30 12:21:20,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,3,1,4,1,7,4,4,6,6,6,6,6,6,6,无,无,7,,15,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
102,112.10.75.36,,,,,,,,,2021-06-30 12:20:24,2021-06-30 12:21:58,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,1,7,3,3,7,7,7,7,7,7,7,好,好,3,,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,没
103,223.104.244.75,,,,,,,,,2021-06-30 12:17:10,2021-06-30 12:22:10,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,6.0,6.0,1,3,3,1,1,2,6,1,3,5,5,5,6,5,6,4,踏踏实实做事,继续加油好好学习,7,,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,5,5,5,要做精细
104,124.160.216.85,,,,,,,,,2021-06-30 12:19:28,2021-06-30 12:22:13,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,3,7,4,4,7,7,7,7,7,7,7,没有,没有,3,,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,没有
105,211.138.116.243,,,,,,,,,2021-06-30 12:14:08,2021-06-30 12:22:44,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,9.0,1,3,2,1,1,2,3,2,2,6,6,6,6,6,6,6,没什么看法,太枯燥乏味,4,,48,24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,无
106,223.104.160.11,,,,,,,,,2021-06-30 12:06:48,2021-06-30 12:22:59,Chrome 77.0.3865.120,Android Linux 8.0.0,1,,,,,,,9.0,9.0,9.0,1,1,2,1,2,2,6,4,4,6,6,6,6,6,6,6,无,无，,7,,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,无
107,112.10.93.166,,,,,,,,,2021-06-30 12:21:50,2021-06-30 12:24:54,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,6.0,3.0,3,1,2,1,3,4,3,3,3,7,7,7,7,7,7,7,很好,很好,4,,忘记了,8,4,5,4,3,4,4,4,5,6,6,6,6,6,6,7,7,3,3,3,5,7,6,6,6,5,很好
108,36.17.121.142,,,,,,,,,2021-06-30 12:19:56,2021-06-30 12:25:13,Unknown Browser,iPhone iOS 14.7,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,1,7,4,4,7,7,7,7,7,6,7,听党话跟 党走,是大学生教育必不可少的一部分,5,,14,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,6,5,学习任务的发布不应该只是QQ发布一条消息，登录网站应该提供手机验证码验证
109,223.104.246.121,,,,,,,,,2021-06-30 12:23:28,2021-06-30 12:25:49,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,3,1,1,3,7,4,4,7,7,7,7,7,7,7,好,好,3,,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,好
110,223.104.247.14,,,,,,,,,2021-06-30 12:21:25,2021-06-30 12:27:42,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,5.0,5.0,1,1,2,1,2,4,3,3,3,6,6,6,6,7,6,6,无,无,4,,25,1.5,6,5,5,4,6,5,6,5,5,6,6,5,5,5,5,6,5,6,6,5,6,6,6,6,5,无
111,223.104.246.184,,,,,,,,,2021-06-30 12:24:04,2021-06-30 12:27:59,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,2,3,1,1,2,3,4,3,6,6,6,5,6,6,6,无,无,3,,0,1,5,5,5,5,6,5,6,5,6,6,6,5,5,5,5,4,5,5,5,5,6,6,5,5,5,少点在线学习
112,112.17.247.120,,,,,,,,,2021-06-30 12:25:51,2021-06-30 12:29:29,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,3,3,1,1,4,4,7,7,7,7,7,7,7,无,无,7,,20,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,7,7,5,7,6,无
113,223.104.159.238,,,,,,,,,2021-06-30 12:25:40,2021-06-30 12:33:40,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,3.0,7.0,8.0,2,3,2,1,2,2,6,2,2,7,7,7,7,6,5,5,需要一些案例辅以理解，信息量很大,非常没意思,7,,21,3,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,7,7,3,4,4,很难学到东西
114,223.104.159.182,,,,,,,,,2021-06-30 12:28:11,2021-06-30 12:33:50,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,8.0,7.0,1,3,2,4,3,3,3,1,1,6,6,6,6,6,6,6,无,无,5,,25,20,5,6,6,5,5,6,6,5,6,6,5,5,5,6,6,6,6,6,6,5,6,7,5,7,6,无
115,36.28.135.8,,,,,,,,,2021-06-30 12:32:54,2021-06-30 12:34:42,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,2,3,1,4,2,3,4,4,6,6,5,6,6,6,6,没有,没有,4,,25,25,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,无
